Mass[M_sun/h] z D(z) sigma(M,0) sigma(0.5M,0) sigma(0.14M,0)
8.205000e+12 0.00 1.000000 1.526196 1.714606 2.088126
8.176000e+12 0.00 1.000000 1.527130 1.715596 2.089212
8.172000e+12 0.00 1.000000 1.527260 1.715733 2.089363
8.160000e+12 0.00 1.000000 1.527648 1.716144 2.089814
8.092000e+12 0.00 1.000000 1.529858 1.718486 2.092384
8.090000e+12 0.00 1.000000 1.529924 1.718555 2.092460
8.032000e+12 0.00 1.000000 1.531825 1.720570 2.094671
7.986000e+12 0.00 1.000000 1.533345 1.722179 2.096436
7.928000e+12 0.00 1.000000 1.535274 1.724222 2.098678
7.908000e+12 0.00 1.000000 1.535942 1.724930 2.099455
7.881000e+12 0.00 1.000000 1.536848 1.725889 2.100507
7.846000e+12 0.00 1.000000 1.538027 1.727138 2.101877
7.841000e+12 0.00 1.000000 1.538196 1.727317 2.102074
7.781000e+12 0.00 1.000000 1.540232 1.729473 2.104439
7.775000e+12 0.00 1.000000 1.540437 1.729689 2.104677
7.767000e+12 0.00 1.000000 1.540710 1.729979 2.104994
7.767000e+12 0.00 1.000000 1.540710 1.729979 2.104994
7.699000e+12 0.00 1.000000 1.543042 1.732449 2.107703
7.699000e+12 0.00 1.000000 1.543042 1.732449 2.107703
7.666000e+12 0.00 1.000000 1.544183 1.733656 2.109027
7.664000e+12 0.00 1.000000 1.544252 1.733730 2.109108
7.641000e+12 0.00 1.000000 1.545050 1.734575 2.110035
7.641000e+12 0.00 1.000000 1.545050 1.734575 2.110035
7.631000e+12 0.00 1.000000 1.545398 1.734943 2.110439
7.620000e+12 0.00 1.000000 1.545781 1.735349 2.110883
7.610000e+12 0.00 1.000000 1.546130 1.735718 2.111288
7.558000e+12 0.00 1.000000 1.547952 1.737647 2.113404
7.536000e+12 0.00 1.000000 1.548727 1.738468 2.114304
7.490000e+12 0.00 1.000000 1.550355 1.740192 2.116194
7.469000e+12 0.00 1.000000 1.551102 1.740982 2.117061
7.465000e+12 0.00 1.000000 1.551245 1.741133 2.117226
7.459000e+12 0.00 1.000000 1.551459 1.741360 2.117475
7.438000e+12 0.00 1.000000 1.552209 1.742154 2.118346
7.413000e+12 0.00 1.000000 1.553105 1.743103 2.119386
7.403000e+12 0.00 1.000000 1.553465 1.743483 2.119803
7.378000e+12 0.00 1.000000 1.554366 1.744437 2.120848
7.343000e+12 0.00 1.000000 1.555633 1.745778 2.122318
7.339000e+12 0.00 1.000000 1.555778 1.745932 2.122487
7.335000e+12 0.00 1.000000 1.555923 1.746086 2.122655
7.335000e+12 0.00 1.000000 1.555923 1.746086 2.122655
7.292000e+12 0.00 1.000000 1.557491 1.747745 2.124474
7.269000e+12 0.00 1.000000 1.558333 1.748636 2.125451
7.263000e+12 0.00 1.000000 1.558553 1.748870 2.125707
7.252000e+12 0.00 1.000000 1.558958 1.749298 2.126176
7.217000e+12 0.00 1.000000 1.560248 1.750664 2.127673
7.176000e+12 0.00 1.000000 1.561769 1.752273 2.129437
7.170000e+12 0.00 1.000000 1.561993 1.752510 2.129696
7.159000e+12 0.00 1.000000 1.562403 1.752944 2.130171
7.143000e+12 0.00 1.000000 1.563000 1.753576 2.130864
7.143000e+12 0.00 1.000000 1.563000 1.753576 2.130864
7.139000e+12 0.00 1.000000 1.563150 1.753734 2.131038
7.132000e+12 0.00 1.000000 1.563412 1.754012 2.131342
